,Movie_id,Movie,Year,Liker_num,Liker_ratio,Taiwan Film Name
0,79132,Inception,2010,29620,0.458336557,全面啟動
1,318,The Shawshank Redemption,1994,56381,0.438084212,刺激1995 
2,2571,The Matrix,1999,55485,0.431122231,駭客任務
3,58559,The Dark Knight,2008,32215,0.42938448,黑暗騎士
4,4993,The Lord of the Rings: The Fellowship of the Ring,2001,41529,0.384268041,魔戒首部曲：魔戒現身 
5,7153,The Lord of the Rings: The Return of the King,2003,37674,0.379029337,魔戒三部曲：王者再臨
6,296,Pulp Fiction,1994,48321,0.375457463,黑色追緝令 
7,2959,Fight Club,1999,46856,0.365696803,鬥陣俱樂部
8,5952,The Lord of the Rings: The Two Towers,2002,37666,0.362671751,魔戒二部曲：雙城奇謀
9,109487,Interstellar,2014,16435,0.356453467,星際效應
10,356,Forrest Gump,1994,45129,0.350655405,阿甘正傳
11,260,Star Wars: Episode IV - A New Hope,1977,43679,0.339388806,星際大戰四部曲：曙光乍現 
12,593,The Silence of the Lambs,1991,43416,0.337345279,沉默的羔羊
13,1196,Star Wars: Episode V - The Empire Strikes Back,1980,41049,0.318953527,星際大戰五部曲：帝國大反擊 
14,2858,American Beauty,1999,40243,0.312690852,美國心玫瑰情
15,858,The Godfather,1972,39397,0.306117375,教父
16,1198,Raiders of the Lost Ark,1981,38277,0.297414898,法櫃奇兵 
17,527,Schindler's List,1993,38256,0.297251727,辛德勒的名單 
18,50,The Usual Suspects,1995,36738,0.285456763,刺激驚爆點 
19,4226,Memento,2000,31853,0.283027083,記憶拼圖
20,134130,The Martian,2015,11779,0.276645216,絕地救援
21,99114,Django Unchained,2012,14610,0.274701514,決殺令
22,1210,Star Wars: Episode VI - Return of the Jedi,1983,33709,0.261921227,星際大戰六部曲：絕地大反攻 
23,2028,Saving Private Ryan,1998,33237,0.258253755,搶救雷恩大兵 
24,60069,WALL·E,2008,19384,0.257958054,瓦力
25,2762,The Sixth Sense,1999,32807,0.254912626,靈異第六感
26,3578,Gladiator,2000,30337,0.252280646,神鬼戰士
27,7361,Eternal Sunshine of the Spotless Mind,2004,24246,0.247620409,王牌冤家 
28,164179,Arrival,2016,7093,0.245322173,異星入境
29,68954,Up,2009,17099,0.245270028,天外奇蹟
30,1270,Back to the Future,1985,31432,0.244228782,回到未來
31,68157,Inglourious Basterds,2009,16346,0.238370228,惡棍特工 
32,4973,Amelie,2001,25697,0.237352792,艾蜜莉的異想世界
33,91529,The Dark Knight Rises,2012,13682,0.236573642,黑暗騎士：黎明昇起
34,48516,The Departed,2006,19369,0.232000192,神鬼無間
35,112852,Guardians of the Galaxy,2014,10844,0.231244935,星際異攻隊
36,116797,The Imitation Game,2014,10629,0.231170752,模仿遊戲 
37,33794,Batman Begins,2005,20835,0.23023117,蝙蝠俠：開戰時刻
38,110,Braveheart,1995,29187,0.226784979,梅爾吉勃遜之英雄本色
39,47,Seven,1995,29171,0.226660658,火線追緝令
40,4306,Shrek,2001,25062,0.224037903,史瑞克
41,589,Terminator 2: Judgment Day,1991,28813,0.223878973,魔鬼終結者2 
42,6539,Pirates of the Caribbean: The Curse of the Black Pearl,2003,22402,0.221573825,神鬼奇航：鬼盜船魔咒 
43,608,Fargo,1996,28504,0.221478022,冰血暴
44,6874,Kill Bill: Vol. 1,2003,22074,0.220444604,追殺比爾 
45,1,Toy Story,1995,28246,0.219473345,玩具總動員
46,1704,Good Will Hunting,1997,27769,0.215767022,心靈捕手
47,134853,Inside Out,2015,9073,0.212601931,腦筋急轉彎
48,6377,Finding Nemo,2003,21484,0.211633749,海底總動員 
49,1193,One Flew Over the Cuckoo's Nest,1975,27093,0.210514456,飛越杜鵑窩 
50,59315,Iron Man,2008,15943,0.210268787,鋼鐵人
51,1136,Monty Python and the Holy Grail,1975,26922,0.209185775,聖杯傳奇 
52,106782,The Wolf of Wall Street,2013,10178,0.207278578,華爾街之狼
53,195159,Spider-Man: Into the Spider-Verse,2018,2336,0.207128924,蜘蛛人：新宇宙 
54,122904,Deadpool,2016,8795,0.205509861,惡棍英雄：死侍
55,1197,The Princess Bride,1987,26401,0.205137569,公主新娘 
56,1221,The Godfather: Part II,1974,26254,0.203995369,教父II 
57,48780,The Prestige,2006,16976,0.203864491,頂尖對決
58,8961,The Incredibles,2004,19186,0.20121235,超人特攻隊
59,4886,"Monsters, Inc.",2001,21715,0.199740609,怪獸電力公司 
60,4995,A Beautiful Mind,2001,21551,0.199566623,美麗境界
61,122882,Mad Max: Fury Road,2015,8593,0.196807292,瘋狂麥斯：憤怒道 
62,44191,V for Vendetta,2006,16797,0.194876614,V怪客 
63,74458,Shutter Island,2010,12820,0.192944434,隔離島
64,1214,Alien,1979,24818,0.192837551,異形
65,1089,Reservoir Dogs,1992,24757,0.192363577,霸道橫行 
66,541,Blade Runner,1982,24744,0.192262566,銀翼殺手 
67,72998,Avatar,2009,12866,0.191321675,阿凡達
68,109374,The Grand Budapest Hotel,2014,9232,0.191217896,歡迎來到布達佩斯大飯店
69,1291,Indiana Jones and the Last Crusade,1989,24415,0.189706214,聖戰奇兵 
70,1213,Goodfellas,1990,24350,0.189201159,四海好傢伙
